Student ID,Sex,Campus Name,Major,Student Status,Admission Year,Graduate Year,Expected Graduate Year,Secondary School GPA,GAT Scores,AAT Score,School Name,Student GPA,Last Semester GPA,Math Score,CS Score,English Score,Admission Score,Grade
100000,Male,North Campus,CNET,regular,2019,2024,2022,62.52,66,59,School B,3.85,3.72,93,75,93,85,B
100001,Female,North Campus,CNET,discontinuous,,2028,2026,92.41,76,75,School B,3.81,4,98,78,99,81,B
100002,Male,West Campus,IT,regular,2018,2022,2023,80.65,90,61,School C,1.55,1.78,36,47,36,38,D
100003,Male,Main Campus,CS,discontinuous,2019,2022,2024,99.12,51,65,School C,1.36,1.46,35,64,35,41,D
100004,Male,North Campus,CNET,graduate,2016,2022,2022,83.79,61,60,School A,3.58,3.24,81,92,81,69,B
100005,Female,Main Campus,CNET,discontinuous,2018,2024,2021,97.96,91,66,School B,4.18,3.84,59,52,59,82,A
100006,Male,North Campus,CNET,graduate,2016,2020,2019,69.68,57,66,School B,3.92,3.48,69,84,69,79,B
100007,Male,West Campus,CNET,regular,2019,2023,2022,83.03,96,100,School D,2.72,3.09,61,43,61,53,C
100008,Male,West Campus,IT,graduate,2018,2021,2023,74.2,70,52,School C,4.31,4,98,99,,97,A
100009,Female,North Campus,IT,graduate,2016,2019,2022,66.84,74,89,School A,3.33,3.54,60,84,60,72,B
100010,Male,Main Campus,CNET,discontinuous,2015,2018,2019,60.77,69,83,School A,4.67,4,85,97,85,93,A
100011,Male,North Campus,CS,graduate,2021,2025,2027,94.16,67,96,School B,2.2,2.67,35,35,35,47,C
100012,Male,North Campus,IT,regular,2016,2021,2019,80.92,93,92,School B,,4,61,99,61,81,B
100013,Male,North Campus,CNET,graduate,2020,2023,2026,84.08,77,74,School B,4.38,4,88,99,88,95,A
100014,Female,West Campus,CNET,graduate,2021,2025,2025,98.35,53,69,School A,3.27,2.95,87,88,87,65,B
100015,Male,Main Campus,CS,discontinuous,2018,2023,2024,97.12,72,72,School B,2.46,2.14,61,79,61,56,C
100016,Female,North Campus,IT,graduate,2015,2019,2020,95.83,79,60,School A,3.89,3.69,86,56,86,77,B
100017,Female,Main Campus,CNET,discontinuous,2019,2022,2025,60.46,60,80,School B,3.92,3.94,81,99,81,88,B
100018,Female,Main Campus,CS,regular,2017,2022,2023,65.61,67,59,School C,1.47,1.4,35,57,35,44,D
100019,Male,West Campus,IT,graduate,2016,2022,2020,83.2,72,72,School D,4.08,3.87,67,92,67,76,A
100020,Female,Main Campus,CNET,discontinuous,2018,2022,2022,91.04,71,53,School D,4.35,4,98,99,99,98,A
100021,Male,Main Campus,IT,graduate,2016,2021,2021,66.1,85,89,School D,2.69,,35,35,35,55,C
100022,Female,North Campus,CS,discontinuous,2018,2021,2024,77.9,100,85,School C,4.64,4,93,99,93,100,A
100023,Female,North Campus,CS,regular,2016,2020,2019,66.89,99,99,School D,4.07,3.94,88,57,88,75,A
100024,Female,Main Campus,IT,regular,2018,2021,2024,97.86,53,63,School C,2.66,2.62,57,64,57,58,C
100025,Female,Main Campus,,graduate,2018,2022,2022,66.17,62,94,School B,3.28,3.57,76,76,76,69,B
100026,Female,Main Campus,IT,graduate,2018,2021,2024,84,82,69,School B,4.41,4,61,83,61,90,A
100027,Female,Main Campus,IT,discontinuous,2021,2027,2024,94.36,92,90,School B,2.48,2.49,93,35,93,64,C
100028,Female,North Campus,IT,graduate,2018,2024,2024,65.55,52,,School D,4.78,4,81,82,81,91,A
100029,Female,West Campus,IT,graduate,2017,2021,2022,91.4,73,82,School B,3.99,3.54,83,67,83,81,B
100030,Male,West Campus,CNET,discontinuous,2021,2026,2024,83.04,95,89,School C,3.01,3.12,50,74,50,69,B
100031,Male,Main Campus,CNET,discontinuous,2022,2028,2026,97.05,50,77,School D,2.05,1.72,80,36,80,53,C
100032,Female,North Campus,CS,regular,2021,2026,2026,69.99,78,79,School D,1.99,1.56,35,35,35,42,D
100033,Female,Main Campus,CS,regular,2016,2020,2021,60.12,68,95,School C,2.06,2.51,73,64,73,60,C
100034,Female,West Campus,CNET,graduate,2016,2021,2021,91.82,88,64,School C,2.04,2.51,58,58,58,64,C
100035,Male,West Campus,IT,graduate,2019,2023,2025,97.22,90,77,School D,1.35,1.66,59,35,59,41,D
100036,Female,West Campus,IT,discontinuous,2022,2025,2026,84.18,76,68,School A,4.78,4,95,99,95,99,A
100037,Male,West Campus,CS,graduate,2016,2022,2021,66.65,64,63,School B,3.19,2.79,98,77,98,70,B
100038,Male,West Campus,CS,regular,2015,2019,2018,74.65,78,89,School C,2.37,2.55,70,,70,59,C
100039,Male,West Campus,CS,graduate,2018,2022,2021,72.33,51,59,School C,3.38,3.32,68,52,68,71,B
100040,Male,Main Campus,CS,discontinuous,2017,2023,2022,81.59,89,76,School D,1.02,0.64,64,58,64,35,D
100041,Male,Main Campus,CNET,graduate,2022,2025,2026,95.1,80,65,School D,2.81,2.81,35,70,35,49,C
100042,Female,Main Campus,CNET,regular,2022,2026,2025,62.43,52,80,School B,3.31,2.84,55,64,55,71,B
100043,Female,North Campus,IT,discontinuous,2021,2024,2027,79.63,78,57,School A,2.42,2.83,63,45,63,47,C
100044,Female,North Campus,IT,regular,2021,,2025,89.01,73,96,School B,,1.62,62,54,62,42,D
100045,Female,North Campus,IT,discontinuous,2015,2020,2021,85.16,56,99,School D,1.95,2.11,52,35,52,39,D
100046,Female,Main Campus,CNET,graduate,2017,2021,2022,88.55,72,51,School B,4.51,4,98,99,99,94,A
100047,Male,West Campus,CNET,regular,2017,2022,2021,89.29,91,95,School D,1.17,1.19,56,62,56,35,D
100048,Female,West Campus,CNET,graduate,2021,2027,2027,60.95,91,80,School D,3.49,3.54,96,99,96,70,B
100049,Female,West Campus,IT,regular,2020,2023,2025,88.65,80,57,School C,3.24,2.92,41,64,41,69,B
100050,Male,West Campus,CS,discontinuous,2016,2022,2021,93.19,87,72,School A,4.77,4,98,99,99,100,A
100051,Female,West Campus,CS,discontinuous,2015,2019,2021,85.82,86,81,School B,4.77,4,98,67,99,97,A
100052,Male,West Campus,CS,discontinuous,2022,2027,2028,81.86,53,62,School A,2.1,2.54,35,46,35,57,C
100053,Female,North Campus,CS,regular,2019,2024,2025,84.63,51,97,School D,1.96,2.35,,67,35,43,D
100054,Male,Main Campus,CNET,regular,2022,2026,2028,95.77,92,59,School B,3.22,3.32,46,65,46,68,B
100055,Female,West Campus,CNET,discontinuous,2018,2023,2024,65.63,66,57,School B,4.02,4,88,65,88,80,A
100056,Female,West Campus,CS,graduate,2018,2022,2023,65.55,96,65,School B,1.03,0.62,35,54,35,38,D
100057,Male,Main Campus,CS,regular,2016,2019,2021,88.07,79,77,School C,,2.5,37,50,37,64,C
100058,Male,Main Campus,CNET,graduate,2015,2018,2019,64.74,63,53,School A,1.64,1.19,35,46,35,37,D
100059,Male,Main Campus,CNET,discontinuous,2017,2023,2021,92.97,,79,School B,2.58,2.41,77,45,77,48,C
100060,Male,North Campus,CNET,regular,2018,2023,2022,95.39,51,82,School D,4.75,4,77,99,77,94,A
100061,Male,North Campus,CS,discontinuous,2016,2022,2022,67.28,56,63,School C,3.95,3.72,98,60,98,79,B
100062,Male,Main Campus,CNET,graduate,2018,2024,2024,70.6,99,80,School A,3.25,3.58,95,64,95,68,B
100063,Male,West Campus,CS,regular,2020,2024,2025,95.84,79,89,School A,4.13,3.99,57,99,57,79,A
100064,Male,North Campus,CNET,graduate,2020,2024,2024,62.77,50,95,School D,4.67,4,90,99,90,95,A
100065,Female,North Campus,IT,discontinuous,2022,2027,2026,90.13,62,66,School A,2.85,2.89,72,61,72,50,C
100066,Female,West Campus,CNET,regular,2019,2023,2024,73.35,70,91,School C,4.77,4,71,99,71,100,A
100067,Male,Main Campus,IT,discontinuous,2022,2028,2028,79.58,63,81,School B,3.23,3.53,63,90,63,74,B
100068,Female,North Campus,CS,discontinuous,2018,2023,2023,69.73,91,92,School C,2.4,1.97,48,50,48,51,C
